Day,Daily_Volume,Unique_Senders,Unique_Receivers,Tx_Count,HHI_Senders
2022-04-20,82956114.53354913,523,577,1473,0.030054506881168095
2022-04-21,176917701.61646935,568,625,1645,0.047236447188575885
2022-04-22,174149280.1578975,498,594,1425,0.07062012781424051
2022-04-23,72548626.18061982,450,484,1122,0.05840188749669507
2022-04-24,83378634.30072068,425,483,1067,0.06475804075239383
2022-04-25,84817606.39308381,550,642,1775,0.04344974740202902
2022-04-26,139482020.06306127,635,670,1798,0.037537889242493974
2022-04-27,98748354.97481571,546,623,1497,0.04427213233925565
2022-04-28,193560073.9523837,610,665,1650,0.04130007914223071
2022-04-29,63373101.78812001,545,637,1510,0.027189635665773048
2022-04-30,113466154.24057885,556,570,1470,0.041860754833556515
2022-05-01,113695523.08631176,435,469,1115,0.04209935937358664
2022-05-02,140117137.13649666,506,583,1438,0.036148859372292355
2022-05-03,191166704.05667254,541,616,1626,0.03701796254569405
2022-05-04,138493433.3580792,567,603,1648,0.029373703156885568
2022-05-05,161469457.75383654,540,570,1404,0.05932123183599049
2022-05-06,111218838.34565958,510,617,1482,0.04632748948697064
2022-05-07,520334440.5952016,834,815,2430,0.060055388574232434
2022-05-08,955177174.1048976,914,890,3116,0.039624341026927606
2022-05-09,1950736613.8310149,1581,1791,7929,0.06944195406328976
2022-05-10,3815003085.974692,2708,3286,17760,0.03475785950196077
2022-05-11,2391867784.571222,3279,3455,18864,0.028907824149100963
2022-05-12,786557766.9003354,2566,3314,12135,0.03140073654438242
2022-05-13,414424078.7305823,1719,1622,7475,0.035787950988309114
2022-05-14,309482841.92152214,748,1056,3473,0.07356039995708406
2022-05-15,185672912.05972868,733,877,3345,0.07503302313058945
2022-05-16,176797493.8117965,601,742,3053,0.042792858046500654
2022-05-17,35701478.2064822,360,397,1191,0.08888205731627322
2022-05-18,35456968.935545735,353,573,1393,0.1235211780768462
2022-05-19,57425942.60091652,328,397,1031,0.1252864139829594
2022-05-20,121758695.62030736,270,336,870,0.4243764488527649
2022-05-21,198806551.97025767,274,320,826,0.12961829239865133
2022-05-22,15024361.150119547,208,290,760,0.043151788336278696
2022-05-23,73885853.47363105,294,389,1079,0.13055377347846847
2022-05-24,52059332.35451378,697,353,1297,0.1168761715471379
2022-05-25,193600199.94978443,544,810,1830,0.09928532386685862
2022-05-26,538437390.5559404,3236,2644,7755,0.0783780151772153
2022-05-27,274744732.81103873,572,924,2602,0.09351115425870332
2022-05-28,51370010.77577691,482,853,2302,0.07371881413923259
2022-05-29,13949734.115846738,262,394,940,0.07358654533620815
